#ID,    NAME,           TYPE
1,      EYES_H,         int16 
2,      EYES_V,         int16 
3,      EYES_FOCUS,     int16
4,      LID_WIDE_R,      int16
5,      LID_WIDE_L,      int16
6,      EYELID_BR,      int16
7,      EYELID_BL,      int16
8,      EAR_LEFT,       int16
9,      EAR_RIGHT,      int16
10,     MOUTH,          int16
#       NEC
11,     NECK_TILT,   int16
12,     NECK_PITCH,   int16
13,     NECK_ROTATION,  int16
#       ARM RIGH
14,     ARMR_ROTATION,  int16
15,     ARMR_ABDUCTION,  int16
16,     ARMR_FLEXION,  int16
17,     ARMR_ELBOW,     int16
18,     ARMR_WRIST,     int16
#       ARM LEFT
19,     ARML_ABDUCTION,  int16
20,     ARML_FLEXION,  int16
21,     ARML_ELBOW,     int16
22,     ARML_WRIST,     int16
23,     ARML_ROTATION,  int16
#       BODY
24,     BODY_LEAN,      int16
25,     BODY_ROTATION,  int16
26,		BODY_ROLL
#       LEDS
27,     LED_IRIS_LEFT,  uint8
28,     LED_IRIS_RIGHT, uint8
29,     EYELED_R,       uint8
30,     EYELED_G,       uint8
31,     EYELED_B,       uint8
#comment   
